STORY LEVEL,DISPLACEMENT EQX (mm),DISPLACEMENT EQY (mm),DRIFT EQX (%),DRIFT EQY (%),REMARKS
RDECK,1085.632241,767.3208076,1.046927681,0.992926407,OK!
PENT,1064.284035,750.2129781,1.112083027,1.007628726,OK!
43RD,1043.034898,729.4220073,1.119331859,1.051026013,OK!
42ND,1021.233704,700.9461875,1.156237917,1.080217501,OK!
41ST,998.9521749,680.4245572,1.199406958,1.105559813,OK!
40TH,976.1810841,659.7710071,1.237588914,1.128832069,OK!
39TH,952.9903683,639.0479579,1.273543564,1.15050113,OK!
38TH,929.3829878,618.3293204,1.306570752,1.174672865,OK!
37TH,905.2860574,597.4715368,1.337644265,1.198797906,OK!
36TH,880.6995858,576.6760935,1.363643722,1.21883738,OK!
35TH,855.69352,555.8070749,1.390848593,1.240874631,OK!
34TH,830.2678724,534.9342338,1.416843411,1.262068627,OK!
33RD,804.3496991,514.0574478,1.445626262,1.283140121,OK!
32ND,777.9420105,493.1809203,1.465242045,1.299788452,OK!
31ST,751.1816405,472.3046856,1.492499173,1.320560275,OK!
30TH,723.9317559,451.5640699,1.517805686,1.342832715,OK!
29TH,696.329165,430.8326845,1.54640916,1.362864399,OK!
28TH,668.4437814,410.1064629,1.560593246,1.377712314,OK!
27TH,640.2755973,389.3858145,1.584051849,1.397027051,OK!
26TH,611.6878175,368.9264649,1.606400778,1.416939946,OK!
25TH,582.7503742,348.5374301,1.629179554,1.436447632,OK!
24TH,553.4663445,328.4134132,1.642662525,1.444325178,OK!
23RD,523.9725379,308.4291987,1.661074812,1.456363914,OK!
22ND,494.4088256,288.5301333,1.679026623,1.467366965,OK!
21ST,464.4861433,268.4922066,1.697491049,1.477614987,OK!
20TH,434.5759211,249.1746925,1.711871549,1.487211189,OK!
19TH,404.6022526,230.1444688,1.723433692,1.497561541,OK!
18TH,374.6322374,211.4547528,1.730642797,1.505647781,OK!
17TH,344.6628834,193.0983338,1.734693128,1.515429827,OK!
16TH,314.7713281,175.1308231,1.73498451,1.523210205,OK!
15TH,285.1574304,157.7026518,1.730832961,1.526577381,OK!
14TH,255.8987464,140.7687643,1.718919966,1.519015536,OK!
13TH,227.0664484,124.5133941,1.704343407,1.507319558,OK!
12TH,198.7931601,109.0508565,1.683268867,1.486125651,OK!
11TH,171.2936616,94.39740727,1.652294919,1.455814634,OK!
10TH,144.7040874,80.70517332,1.605208027,1.416017832,OK!
9TH,119.3803774,67.95770744,1.536482867,1.348840973,OK!
8TH,95.66098682,56.11263049,1.412550916,1.182721311,OK!
7TH,74.4278765,45.98445933,1.198525002,1.013099028,OK!
6TH,55.49812609,36.98948634,1.023572572,0.89867049,OK!
5TH,40.27847688,27.73290104,0.895916447,0.817212934,OK!
4TH,27.51151395,19.91804458,0.79189839,0.744884669,OK!
3RD,16.85968564,13.09280719,0.671411543,0.671048091,OK!
2ND,8.374879104,6.581489193,0.360728707,0.373629469,OK!
,,,,,
